Chemical,Label
NCGC00261900-01,0.04692791402339935
NCGC00260869-01,0.2586647570133209
NCGC00261776-01,0.9842165112495422
NCGC00261842-01,0.002979408949613571
NCGC00261662-01,0.9669988751411438
NCGC00261926-01,0.12798042595386505
NCGC00260921-01,0.8255168199539185
NCGC00261119-01,0.8829299807548523
NCGC00260831-01,0.9886878132820129
NCGC00261544-01,0.5528914332389832
NCGC00261633-01,0.00280570425093174
NCGC00261395-01,0.5624058842658997
NCGC00261717-01,0.021614855155348778
NCGC00261424-01,0.09771628677845001
NCGC00261861-01,0.3964031934738159
NCGC00261924-01,0.4647171199321747
NCGC00261052-01,0.8363808393478394
NCGC00261683-01,0.9514429569244385
NCGC00261026-01,0.9278720021247864
NCGC00261057-01,0.03329615667462349
NCGC00261738-01,0.3582874834537506
NCGC00261348-01,0.012244020588696003
NCGC00261503-01,0.06561916321516037
NCGC00260693-01,0.0006524348864331841
NCGC00260703-01,0.0016201755497604609
NCGC00260716-01,0.016613997519016266
NCGC00260782-01,0.006089851260185242
NCGC00260802-01,0.007514662574976683
NCGC00260823-01,0.0018662925576791167
NCGC00261313-01,0.002244934905320406
NCGC00260757-01,0.06420131772756577
NCGC00260826-01,0.024255799129605293
NCGC00261005-01,0.009196030907332897
NCGC00260980-01,0.18922492861747742
NCGC00261816-01,0.23366639018058777
NCGC00260698-01,0.023004960268735886
NCGC00260889-01,0.705769419670105
NCGC00260811-01,0.3209826946258545
NCGC00261165-01,0.026999058201909065
NCGC00261060-01,0.0022541971411556005
NCGC00261541-01,0.0017243382753804326
NCGC00261649-01,0.028215335682034492
NCGC00261110-01,0.22865521907806396
NCGC00261130-01,0.8662283420562744
NCGC00260846-01,0.8538302183151245
NCGC00261030-01,0.7774795889854431
NCGC00261162-01,0.24743376672267914
NCGC00261058-01,0.9064645767211914
NCGC00261404-01,0.21981032192707062
NCGC00261423-01,0.35870230197906494
NCGC00261856-01,0.7949344515800476
NCGC00261342-01,0.036621373146772385
NCGC00261935-01,0.33849629759788513
NCGC00261069-01,0.9330028295516968
NCGC00261101-01,0.34917598962783813
NCGC00261183-01,0.1657712757587433
NCGC00261716-01,0.0409349650144577
NCGC00260742-01,0.042798493057489395
NCGC00261529-01,0.24328996241092682
NCGC00261170-01,0.1965629756450653
NCGC00261565-01,0.18739838898181915
NCGC00260990-01,0.9894281029701233
NCGC00261340-01,0.9642096757888794
NCGC00261079-01,0.09753873199224472
NCGC00261389-01,0.43710005283355713
NCGC00261744-01,0.15721510350704193
NCGC00261420-01,0.15001365542411804
NCGC00261215-01,0.005287409294396639
NCGC00261826-01,0.13658839464187622
NCGC00260706-01,0.35737141966819763
NCGC00261123-01,0.8950355648994446
NCGC00261367-01,0.024409187957644463
NCGC00261507-01,0.4788704812526703
NCGC00261169-01,0.5835954546928406
NCGC00261730-01,0.9883267283439636
NCGC00261624-01,0.050412368029356
NCGC00261641-01,0.019100259989500046
NCGC00261853-01,0.9724203944206238
NCGC00260911-01,0.15965168178081512
NCGC00260798-01,0.059173714369535446
NCGC00261384-01,0.9034770131111145
NCGC00260785-01,0.9773653745651245
NCGC00261597-01,0.3373871147632599
NCGC00261025-01,0.09286462515592575
NCGC00260789-01,0.9294926524162292
NCGC00260866-01,0.979070782661438
NCGC00261189-01,0.29791703820228577
NCGC00261270-01,0.9589933156967163
NCGC00261611-01,0.31635990738868713
NCGC00261160-01,0.8652270436286926
NCGC00261085-01,0.03541538491845131
NCGC00261817-01,0.712847113609314
NCGC00261866-01,0.15591518580913544
NCGC00260852-01,0.9817467927932739
NCGC00261290-01,0.8339444398880005
NCGC00261304-01,0.4901023507118225
NCGC00261704-01,0.9737704396247864
NCGC00260850-01,0.5572164058685303
NCGC00260972-01,0.4856424033641815
NCGC00261364-01,0.21349307894706726
NCGC00261392-01,0.882277250289917
NCGC00261638-01,0.9841564297676086
NCGC00261820-01,0.9229064583778381
NCGC00261808-01,0.9650108814239502
NCGC00260790-01,0.18786770105361938
NCGC00260940-01,0.8646913766860962
NCGC00261081-01,0.2839203178882599
NCGC00261133-01,0.9376707673072815
NCGC00261399-01,0.9942682981491089
NCGC00260696-01,0.85664963722229
NCGC00261903-01,0.4752323627471924
NCGC00261178-01,0.8555580377578735
NCGC00261568-01,0.978927731513977
NCGC00260830-01,0.05518525093793869
NCGC00261113-01,0.618786096572876
NCGC00261327-01,0.1110227033495903
NCGC00261602-01,0.926384687423706
NCGC00260858-01,0.9966656565666199
NCGC00261071-01,0.7547276616096497
NCGC00261076-01,0.6129603981971741
NCGC00261192-01,0.08879860490560532
NCGC00261495-01,1.1616970141403726e-06
NCGC00261577-01,0.5362281799316406
NCGC00261510-01,0.14994767308235168
NCGC00261679-01,0.8917984962463379
NCGC00261941-01,0.9896026253700256
NCGC00261343-01,0.759502112865448
NCGC00261607-01,0.8273057341575623
NCGC00261782-01,0.5361387729644775
NCGC00261914-01,0.023825446143746376
NCGC00261475-01,0.9808475971221924
NCGC00261764-01,0.6908782720565796
NCGC00261802-01,0.9984744191169739
NCGC00260795-01,0.44825980067253113
NCGC00261352-01,0.6429870128631592
NCGC00261009-01,0.9964321851730347
NCGC00261944-01,0.9961614608764648
NCGC00261166-01,0.6944833397865295
NCGC00261332-01,0.9853036403656006
NCGC00261333-01,0.9647343158721924
NCGC00261260-01,0.9625704288482666
NCGC00261915-01,0.8448115587234497
NCGC00261682-01,0.2838745415210724
NCGC00261049-01,0.12128153443336487
