Chemical,Label
NCGC00261900-01,0.05432449281215668
NCGC00260869-01,0.14908158779144287
NCGC00261776-01,0.9319707155227661
NCGC00261842-01,0.04376176372170448
NCGC00261662-01,0.9893966317176819
NCGC00261926-01,0.37655478715896606
NCGC00260921-01,0.9907172322273254
NCGC00261119-01,0.7829808592796326
NCGC00260831-01,0.9793561100959778
NCGC00261544-01,0.1781742125749588
NCGC00261633-01,0.03198125585913658
NCGC00261395-01,0.8689574003219604
NCGC00261717-01,0.031397495418787
NCGC00261424-01,0.26262569427490234
NCGC00261861-01,0.3914159834384918
NCGC00261924-01,0.4786384403705597
NCGC00261052-01,0.664584755897522
NCGC00261683-01,0.7829514741897583
NCGC00261026-01,0.7950121164321899
NCGC00261057-01,0.4181356430053711
NCGC00261738-01,0.47747185826301575
NCGC00261348-01,0.06624559313058853
NCGC00261503-01,0.0740744099020958
NCGC00260693-01,0.06435099244117737
NCGC00260703-01,0.06806585937738419
NCGC00260716-01,0.10465168952941895
NCGC00260782-01,0.06945923715829849
NCGC00260802-01,0.07919707894325256
NCGC00260823-01,0.1811012476682663
NCGC00261313-01,0.05798880755901337
NCGC00260757-01,0.10725594311952591
NCGC00260826-01,0.10644318908452988
NCGC00261005-01,0.03359140455722809
NCGC00260980-01,0.04302433878183365
NCGC00261816-01,0.12014821171760559
NCGC00260698-01,0.2806928753852844
NCGC00260889-01,0.2632427215576172
NCGC00260811-01,0.4760083556175232
NCGC00261165-01,0.02980782464146614
NCGC00261060-01,0.06012758985161781
NCGC00261541-01,0.08535099029541016
NCGC00261649-01,0.06656118482351303
NCGC00261110-01,0.7391760945320129
NCGC00261130-01,0.8332975506782532
NCGC00260846-01,0.7106266021728516
NCGC00261030-01,0.768277108669281
NCGC00261162-01,0.6413866877555847
NCGC00261058-01,0.7218645811080933
NCGC00261404-01,0.17286795377731323
NCGC00261423-01,0.7293204069137573
NCGC00261856-01,0.75137859582901
NCGC00261342-01,0.20288985967636108
NCGC00261935-01,0.18420852720737457
NCGC00261069-01,0.3890684247016907
NCGC00261101-01,0.10633858293294907
NCGC00261183-01,0.017320219427347183
NCGC00261716-01,0.036747392266988754
NCGC00260742-01,0.03004191629588604
NCGC00261529-01,0.724312424659729
NCGC00261170-01,0.47636306285858154
NCGC00261565-01,0.08494710177183151
NCGC00260990-01,0.9671480655670166
NCGC00261340-01,0.9095866084098816
NCGC00261079-01,0.5564600825309753
NCGC00261389-01,0.12633530795574188
NCGC00261744-01,0.03465168550610542
NCGC00261420-01,0.12220586091279984
NCGC00261215-01,0.03806525468826294
NCGC00261826-01,0.1854209303855896
NCGC00260706-01,0.06394095718860626
NCGC00261123-01,0.7155026197433472
NCGC00261367-01,0.13327431678771973
NCGC00261507-01,0.13941127061843872
NCGC00261169-01,0.14236748218536377
NCGC00261730-01,0.8221973180770874
NCGC00261624-01,0.25250735878944397
NCGC00261641-01,0.08021314442157745
NCGC00261853-01,0.4219818711280823
NCGC00260911-01,0.21576856076717377
NCGC00260798-01,0.015987761318683624
NCGC00261384-01,0.6560930013656616
NCGC00260785-01,0.7454694509506226
NCGC00261597-01,0.34454160928726196
NCGC00261025-01,0.0759834498167038
NCGC00260789-01,0.35774657130241394
NCGC00260866-01,0.8132584691047668
NCGC00261189-01,0.3210952877998352
NCGC00261270-01,0.09504701942205429
NCGC00261611-01,0.07161447405815125
NCGC00261160-01,0.3532504141330719
NCGC00261085-01,0.10358158499002457
NCGC00261817-01,0.4345712959766388
NCGC00261866-01,0.6470767259597778
NCGC00260852-01,0.5955424308776855
NCGC00261290-01,0.9122090935707092
NCGC00261304-01,0.6303543448448181
NCGC00261704-01,0.7709843516349792
NCGC00260850-01,0.37315240502357483
NCGC00260972-01,0.5066388845443726
NCGC00261364-01,0.0420813262462616
NCGC00261392-01,0.6837705969810486
NCGC00261638-01,0.7315772175788879
NCGC00261820-01,0.25546717643737793
NCGC00261808-01,0.05885917693376541
NCGC00260790-01,0.39554721117019653
NCGC00260940-01,0.9924058318138123
NCGC00261081-01,0.10401371121406555
NCGC00261133-01,0.836266040802002
NCGC00261399-01,0.9814592599868774
NCGC00260696-01,0.6540703177452087
NCGC00261903-01,0.624782383441925
NCGC00261178-01,0.7068061232566833
NCGC00261568-01,0.5534409284591675
NCGC00260830-01,0.25869110226631165
NCGC00261113-01,0.7080573439598083
NCGC00261327-01,0.4985369145870209
NCGC00261602-01,0.7787597179412842
NCGC00260858-01,0.9904571175575256
NCGC00261071-01,0.5180954933166504
NCGC00261076-01,0.41986867785453796
NCGC00261192-01,0.17116308212280273
NCGC00261495-01,0.0014723478816449642
NCGC00261577-01,0.7379186749458313
NCGC00261510-01,0.10145251452922821
NCGC00261679-01,0.9380503296852112
NCGC00261941-01,0.8840431571006775
NCGC00261343-01,0.07303464412689209
NCGC00261607-01,0.7683475017547607
NCGC00261782-01,0.669276773929596
NCGC00261914-01,0.08697197586297989
NCGC00261475-01,0.9650745987892151
NCGC00261764-01,0.9842621088027954
NCGC00261802-01,0.9225208759307861
NCGC00260795-01,0.49298664927482605
NCGC00261352-01,0.9030212759971619
NCGC00261009-01,0.8721276521682739
NCGC00261944-01,0.6316996216773987
NCGC00261166-01,0.9781628251075745
NCGC00261332-01,0.9266551733016968
NCGC00261333-01,0.6997777223587036
NCGC00261260-01,0.7325482964515686
NCGC00261915-01,0.16961334645748138
NCGC00261682-01,0.9109367728233337
NCGC00261049-01,0.48723265528678894
NCGC00260910-01,0.6692944765090942
NCGC00261272-01,0.5292044878005981
NCGC00260708-01,0.12444190680980682
NCGC00261390-01,0.102458655834198
NCGC00260948-01,0.07553922384977341
NCGC00261840-01,0.05819680541753769
NCGC00260881-01,0.05770759657025337
NCGC00261153-01,0.05853574350476265
NCGC00261406-01,0.05179502069950104
NCGC00261053-01,0.05322081223130226
NCGC00261129-01,0.047191016376018524
NCGC00261381-01,0.4307277798652649
NCGC00261426-01,0.9791793823242188
NCGC00260979-01,0.5128057599067688
NCGC00260993-01,0.21619130671024323
NCGC00261108-01,0.29449161887168884
NCGC00261441-01,0.46820974349975586
NCGC00261877-01,0.6490635871887207
NCGC00260815-01,0.030060701072216034
NCGC00261542-01,0.3450845777988434
NCGC00261958-01,0.3580174744129181
NCGC00261787-01,0.3550955057144165
NCGC00261065-01,0.9686291217803955
NCGC00261804-01,0.8630512356758118
NCGC00260875-01,0.26123881340026855
NCGC00261451-01,0.269534707069397
NCGC00261739-01,0.18911653757095337
NCGC00261382-01,0.0775461494922638
NCGC00261663-01,0.0051925890147686005
NCGC00260892-01,0.5167304873466492
NCGC00261297-01,0.8355031609535217
NCGC00261321-01,0.809521496295929
NCGC00261446-01,0.9480546116828918
NCGC00261474-01,0.8623373508453369
NCGC00260834-01,0.048726826906204224
NCGC00260840-01,0.20146772265434265
NCGC00260947-01,0.1896451860666275
NCGC00261080-01,0.5774373412132263
NCGC00261563-01,0.007196860853582621
NCGC00261873-01,0.32552850246429443
NCGC00260803-01,0.7216127514839172
NCGC00260833-01,0.4084594249725342
NCGC00261008-01,0.43820345401763916
NCGC00261155-01,0.14703312516212463
NCGC00261643-01,0.4694351255893707
NCGC00261037-01,0.4650592803955078
NCGC00261126-01,0.6925890445709229
NCGC00260871-01,0.7628273963928223
NCGC00260713-01,0.6292151212692261
NCGC00261487-01,0.6152279376983643
NCGC00261545-01,0.5344775319099426
NCGC00261480-01,0.7500268220901489
NCGC00261838-01,0.5979738235473633
NCGC00261627-01,0.045823827385902405
NCGC00261639-01,0.05090000852942467
NCGC00261177-01,0.11481878161430359
NCGC00260692-01,0.059794098138809204
NCGC00260775-01,0.14393244683742523
NCGC00260876-01,0.1504320353269577
NCGC00261598-01,0.11270902305841446
NCGC00260707-01,0.19776520133018494
NCGC00261554-01,0.6273698210716248
NCGC00261713-01,0.967818021774292
NCGC00261737-01,0.945334255695343
NCGC00261882-01,0.7902030944824219
NCGC00261933-01,0.7297428846359253
NCGC00261201-01,0.06554611772298813
NCGC00261398-01,0.005735029932111502
NCGC00261601-01,0.02050642855465412
NCGC00261003-01,0.059755247086286545
NCGC00261019-01,0.045314885675907135
NCGC00261519-01,0.053085826337337494
NCGC00261732-01,0.05938630551099777
NCGC00261718-01,0.10566571354866028
NCGC00260743-01,0.059622637927532196
NCGC00260751-01,0.06609561294317245
NCGC00260867-01,0.07793454080820084
NCGC00260982-01,0.08357680588960648
NCGC00261176-01,0.13041822612285614
NCGC00261289-01,0.17977666854858398
NCGC00261440-01,0.038136325776576996
NCGC00261657-01,0.10299228876829147
NCGC00260822-01,0.6636240482330322
NCGC00261142-01,0.44055455923080444
NCGC00261582-01,0.03885035216808319
NCGC00261825-01,0.2074861079454422
NCGC00261833-01,0.7930811643600464
NCGC00261835-01,0.24974550306797028
NCGC00261860-01,0.17105652391910553
NCGC00261906-01,0.8404658436775208
NCGC00261916-01,0.40605753660202026
NCGC00261939-01,0.09342948347330093
NCGC00261869-01,0.07295288145542145
NCGC00261163-01,0.04492973908782005
NCGC00261653-01,0.03974160924553871
NCGC00261248-01,0.12147022038698196
NCGC00260770-01,0.11145170778036118
NCGC00261013-01,0.48971885442733765
NCGC00261910-01,0.8240661025047302
NCGC00261686-01,0.08451706171035767
NCGC00261147-01,0.03900407627224922
NCGC00261578-01,0.049415722489356995
NCGC00261336-01,0.2350575476884842
NCGC00261593-01,0.7123111486434937
NCGC00260821-01,0.11935088783502579
NCGC00261007-01,0.060179151594638824
NCGC00261246-01,0.08570067584514618
NCGC00261949-01,0.09700164198875427
NCGC00260890-01,0.3643503487110138
NCGC00261294-01,0.25632908940315247
NCGC00261330-01,0.25440141558647156
NCGC00261470-01,0.09689611196517944
NCGC00260691-01,0.0834207683801651
NCGC00261693-01,0.5199368596076965
NCGC00261293-01,0.028814466670155525
NCGC00261018-01,0.23228220641613007
NCGC00261075-01,0.4317976236343384
NCGC00261150-01,0.21600881218910217
NCGC00261767-01,0.06768710911273956
NCGC00261824-01,0.07073458284139633
NCGC00261146-01,0.21819989383220673
NCGC00260817-01,0.06415237486362457
NCGC00261161-01,0.45656102895736694
NCGC00260728-01,0.6775690317153931
NCGC00261286-01,0.41525840759277344
NCGC00261254-01,0.23129487037658691
NCGC00261261-01,0.1624012440443039
NCGC00261691-01,0.24601294100284576
NCGC00261921-01,0.1739322543144226
NCGC00260962-01,0.2883862555027008
NCGC00261028-01,0.5121990442276001
NCGC00261349-01,0.4024398922920227
NCGC00261583-01,0.9363088011741638
NCGC00261672-01,0.4295445382595062
NCGC00261620-01,0.6932187080383301
NCGC00261141-01,0.4866196811199188
NCGC00261752-01,0.520325779914856
NCGC00261828-01,0.6221511363983154
NCGC00261913-01,0.0676763653755188
NCGC00261473-01,0.16901397705078125
NCGC00356953-01,0.889263927936554
NCGC00357009-01,0.02668800577521324
NCGC00357188-01,0.7726315259933472
NCGC00357201-01,0.9259149432182312
NCGC00357189-01,0.03446034714579582
NCGC00357163-01,0.06289934366941452
NCGC00357001-01,0.5940828323364258
NCGC00357030-01,0.009197326377034187
NCGC00357123-01,0.003644003765657544
NCGC00357004-01,0.0503484271466732
NCGC00357103-01,0.0799885019659996
NCGC00357289-01,0.24641495943069458
NCGC00357082-01,0.8198632001876831
NCGC00356999-01,0.07506487518548965
NCGC00357116-01,0.3552277982234955
NCGC00357010-01,0.08770080655813217
NCGC00357171-01,0.13577869534492493
NCGC00356964-01,0.17036600410938263
NCGC00356995-01,0.08946803957223892
NCGC00357062-01,0.13858620822429657
NCGC00357205-01,0.5732502937316895
NCGC00357185-01,0.5043180584907532
NCGC00357028-01,0.6486060619354248
NCGC00357064-01,0.24884630739688873
NCGC00357196-01,0.9204443097114563
NCGC00357271-01,0.9771206378936768
NCGC00357198-01,0.09024640172719955
NCGC00357079-01,0.13510683178901672
NCGC00356984-01,0.8292881846427917
NCGC00357080-01,0.08432598412036896
NCGC00357173-01,0.11069227755069733
NCGC00357277-01,0.12424799799919128
NCGC00357240-01,0.07447359710931778
NCGC00357145-01,0.05768512189388275
NCGC00357157-01,0.10673754662275314
NCGC00357160-01,0.03878707066178322
NCGC00357107-01,0.07267763465642929
NCGC00357106-01,0.07015949487686157
NCGC00357047-01,0.030579928308725357
NCGC00357174-01,0.031353842467069626
NCGC00357090-01,0.035654712468385696
NCGC00357204-01,0.08642116189002991
NCGC00357214-01,0.0765608623623848
NCGC00357124-01,0.07228061556816101
NCGC00356983-01,0.09348895400762558
NCGC00357092-01,0.13796517252922058
NCGC00357042-01,0.13347823917865753
NCGC00357036-01,0.09785439074039459
NCGC00357089-01,0.0813949853181839
NCGC00357170-01,0.07077493518590927
NCGC00357132-01,0.06106206029653549
NCGC00357265-01,0.13440477848052979
NCGC00357260-01,0.14516760408878326
NCGC00357023-01,0.09286879003047943
NCGC00357114-01,0.3603042960166931
NCGC00357033-01,0.13876450061798096
NCGC00357120-01,0.1418229192495346
NCGC00356963-01,0.15625344216823578
NCGC00357055-01,0.9576481580734253
NCGC00357139-01,0.3506285548210144
NCGC00357026-01,0.3892688453197479
NCGC00357242-01,0.16958123445510864
NCGC00357161-01,0.3050743639469147
NCGC00357279-01,0.15552109479904175
NCGC00357288-01,0.9847291111946106
NCGC00356973-01,0.08790270239114761
NCGC00357143-01,0.13492976129055023
NCGC00357182-01,0.13917234539985657
NCGC00356971-01,0.0985126942396164
NCGC00357084-01,0.09301592409610748
NCGC00357112-01,0.07736194133758545
NCGC00356962-01,0.07214926183223724
NCGC00356993-01,0.04533352702856064
NCGC00357284-01,0.8592349886894226
NCGC00357046-01,0.22041413187980652
NCGC00357000-01,0.0750529021024704
NCGC00357012-01,0.6846011877059937
NCGC00356939-01,0.08377096801996231
NCGC00356955-01,0.008502928540110588
NCGC00357262-01,0.011302654631435871
NCGC00356991-01,0.13014326989650726
NCGC00357203-01,0.11374806612730026
NCGC00357049-01,0.06917709112167358
NCGC00357164-01,0.029622606933116913
NCGC00357073-01,0.05893958732485771
NCGC00357043-01,0.07016711682081223
NCGC00357269-01,0.11706866323947906
NCGC00357266-01,0.1484782099723816
NCGC00357076-01,0.1319831758737564
NCGC00357153-01,0.5569348335266113
NCGC00357138-01,0.15431660413742065
NCGC00357071-01,0.09367852658033371
NCGC00357274-01,0.09339608252048492
NCGC00356981-01,0.16789351403713226
NCGC00357278-01,0.09092696756124496
NCGC00357113-01,0.10895736515522003
NCGC00357218-01,0.8505437970161438
NCGC00357048-01,0.11528041958808899
NCGC00357162-01,0.11737921088933945
NCGC00356941-01,0.1280657947063446
NCGC00357184-01,0.10880724340677261
NCGC00357238-01,0.05362381786108017
NCGC00357220-01,0.21552228927612305
NCGC00357252-01,0.1560758650302887
NCGC00357159-01,0.149375781416893
NCGC00356947-01,0.0725264698266983
NCGC00357063-01,0.13646961748600006
NCGC00356982-01,0.16817744076251984
NCGC00357219-01,0.9316408634185791
NCGC00357037-01,0.09301748871803284
NCGC00356975-01,0.1446019560098648
NCGC00357169-01,0.2557644248008728
