Chemical,Label
NCGC00261900-01,0.12105812877416611
NCGC00260869-01,0.26083263754844666
NCGC00261776-01,0.9740005731582642
NCGC00261842-01,0.03769833967089653
NCGC00261662-01,0.9890084862709045
NCGC00261926-01,0.5788014531135559
NCGC00260921-01,0.996708869934082
NCGC00261119-01,0.8886647820472717
NCGC00260831-01,0.9877350926399231
NCGC00261544-01,0.2761877477169037
NCGC00261633-01,0.023726172745227814
NCGC00261395-01,0.8633318543434143
NCGC00261717-01,0.06745278835296631
NCGC00261424-01,0.4100000560283661
NCGC00261861-01,0.4162749648094177
NCGC00261924-01,0.4425286650657654
NCGC00261052-01,0.8173552751541138
NCGC00261683-01,0.9221042394638062
NCGC00261026-01,0.897370457649231
NCGC00261057-01,0.4887416958808899
NCGC00261738-01,0.5671983361244202
NCGC00261348-01,0.07164527475833893
NCGC00261503-01,0.21571263670921326
NCGC00260693-01,0.06748159229755402
NCGC00260703-01,0.07650566101074219
NCGC00260716-01,0.14983975887298584
NCGC00260782-01,0.08563417941331863
NCGC00260802-01,0.08945539593696594
NCGC00260823-01,0.23862889409065247
NCGC00261313-01,0.06207515299320221
NCGC00260757-01,0.12263637036085129
NCGC00260826-01,0.1332625299692154
NCGC00261005-01,0.0748135969042778
NCGC00260980-01,0.1502038836479187
NCGC00261816-01,0.24173292517662048
NCGC00260698-01,0.16956467926502228
NCGC00260889-01,0.5337665677070618
NCGC00260811-01,0.6020908951759338
NCGC00261165-01,0.06373298913240433
NCGC00261060-01,0.06449378281831741
NCGC00261541-01,0.10108105838298798
NCGC00261649-01,0.09797324985265732
NCGC00261110-01,0.817986786365509
NCGC00261130-01,0.9120447039604187
NCGC00260846-01,0.5850690007209778
NCGC00261030-01,0.8564600348472595
NCGC00261162-01,0.7365221381187439
NCGC00261058-01,0.7182000279426575
NCGC00261404-01,0.3591371774673462
NCGC00261423-01,0.8668698072433472
NCGC00261856-01,0.8155202269554138
NCGC00261342-01,0.17825157940387726
